Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.28,1986,1281,76
0.22,1991,1897,79
0.22,1986,1681,76
0.24,1991,1328,79
0.21,1992,1347,79
0.21,1992,1394,79
0.22,1991,1619,79
0.21,1993,1371,80
0.22,1994,1476,81
0.21,1987,1489,77
0.21,1991,1396,79
0.22,1991,1344,79
0.81,1986,1595,81
0.81,1986,1796,76
1.02,1996,1693,82
1.38,1993,1828,80
2.94,1996,2229,82
0.92,1986,2876,84
1.45,1990,2652,78
1.73,2007,3973,89
0.69,1986,1779,76
0.69,1988,2185,77
0.71,1986,1952,76
3.44,1995,1905,77
0.77,1994,2660,83
0.69,1986,1543,76
0.69,1990,2139,78
0.69,2006,3167,88
0.83,1992,2328,79
0.69,2000,2170,84
0.71,1991,1454,79
0.73,1992,1808,79
0.79,1986,1612,76
1.28,1994,1964,81
1.64,2019,4074,97
1.93,1987,2538,77
0.74,1993,1488,80
0.69,1988,2364,81
0.69,1987,1740,81
0.69,1987,2192,79
0.69,1995,2518,84
1.55,1994,1834,81
0.84,1986,1662,79
0.79,1986,3320,83
0.94,1995,1419,81
0.76,1993,1482,84
0.87,1988,1436,81
1.1,1991,3148,84
0.69,1986,1586,76
0.81,1986,2147,88
0.94,1991,1780,79
1.07,1988,2827,78
2.43,1988,2018,77
1.22,1987,1980,82
1.54,1986,2076,76
1.53,1989,1910,81
1.24,1987,1356,77
0.83,1992,1390,79
2.06,1993,1823,80
0.96,1991,1928,79
0.86,2009,1694,90
1.17,1986,1464,76
1.44,1993,1381,80
0.74,1986,1632,82
0.71,1986,1944,76
0.75,1986,1839,76
0.92,1986,1442,76
1.8,1986,1760,76
0.75,1989,2007,78
0.93,1990,1643,78
2.95,1987,3961,77
2.99,1987,2396,77
2.98,1986,2786,76
3.36,1986,3612,76
2.48,1987,3139,77
0.9,1987,1920,77
0.72,1988,2203,77
0.76,1986,1366,76
0.74,1986,1478,76
0.69,1989,2053,78
0.93,1988,2231,77
0.71,1986,1654,76
0.7,1986,1677,76
0.71,1986,1660,76
0.69,1989,2900,78
0.69,1986,1522,76
0.69,1986,1626,76
0.79,1986,1691,76
1.46,1987,1232,77
0.7,1987,1650,79
0.59,1987,1765,70
0.68,1987,1952,77
0.78,1988,1512,77
0.71,1987,2460,77
0.64,1987,1888,82
0.81,1986,1790,76
1.08,1986,2102,76
0.76,2017,1251,96
0.55,1986,2076,76
0.64,1987,1770,77
0.81,1986,1418,76
0.57,1986,1433,76
0.47,1986,1226,76
0.46,1986,1584,70
0.56,1986,1765,81
0.73,1986,1578,76
0.92,1986,2442,81
0.91,1997,1792,64
0.76,1983,1344,34
1.13,1987,980,38
1.09,1986,2090,88
0.69,1986,2015,84
0.71,1986,1040,76
0,1986,1126,76
0,1986,1115,76
0,1986,1090,60
0,1986,815,60
0,1986,1048,60
0,1986,815,60
0,1986,1090,60
0,1986,1048,60
0,1986,1272,91
0,1986,1300,91
0,1986,1054,91
0,1986,1160,91
0,1986,1160,91
0,1986,1054,91
0,1986,1070,91
0,1986,1070,91
0,1986,1070,91
0,1986,1070,91
0,1986,1070,91
0,1986,1054,91
0,1986,1160,91
0,1986,1054,91
0,1986,1150,91
0,1986,1160,101
0,1986,1300,91
0,1986,868,91
0,1986,868,91
0,1986,868,91
0,1986,872,91
0,1986,1042,91
0,1986,1038,91
0,1986,1038,91
0,1986,1923,82
0,1986,1939,82
0,1986,2023,82
0,1986,2242,82
1.41,1986,2925,76
0.92,1987,3051,77
0.92,1987,2602,77
0.98,1986,3801,82
0.92,1986,4237,76
0.92,1986,3236,76
0.92,1986,4816,88
0.03,1986,1236,70
0.03,1986,1233,70
0.03,1986,1236,81
0.03,1986,1236,70
0.03,1986,1308,70
0.03,1986,1236,70
0.05,1986,1702,89
0.03,1986,1236,70
0.05,1986,1984,81
0.03,1986,1230,70
0.03,1986,1134,70
0.03,1986,1134,70
0.02,1986,1134,70
0.03,1986,2111,77
0.02,1986,1394,70
0.02,1986,1134,70
0.03,1986,1285,70
0.03,1986,1136,70
0.03,1986,1129,70
0.03,1986,1285,70
0.02,1986,1136,70
0.03,1986,1285,70
0.04,1986,1285,84
0.04,1986,1266,82
0.04,1986,1278,70
0.03,1986,1285,70
0.03,1987,1134,70
0.04,1987,1107,70
0.04,1987,1304,78
0.17,1985,4899,76
0.2,1985,7188,65
0.2,1985,2245,84
0.19,1985,2281,84
0.13,1985,1996,81
0.17,1986,2135,76
0.76,1994,1508,81
0.62,1986,2486,79
0.29,1988,2346,77
0.3,1987,2397,77
0.36,1987,2179,81
0.41,1986,2664,82
0.31,1986,2624,84
0.28,1987,2219,77
0.28,1987,2398,81
0.29,1987,2664,81
0.36,1986,2928,76
0.25,1992,1996,79
0.23,1986,2155,76
0.24,1986,1800,76
0.29,1986,1683,76
0.34,1986,1915,81
0.24,1986,2228,76
0.29,1986,1588,76
0.37,1986,1938,84
0.42,1986,1925,81
0.32,1986,1730,81
0.28,1986,2305,84
0.24,1986,1996,84
0.28,1987,2493,79
0.29,1987,2576,81
0.29,1987,2435,84
1.02,1986,2683,82
0.04,1986,1332,79
0.06,1986,1200,76
0.03,1986,1407,76
0.03,1986,1224,79
0.04,1986,1332,76
0.03,1986,1224,76
0.07,1986,1182,76
0.04,1986,1224,76
0.04,1986,1332,76
0.07,1986,1256,79
0.04,1986,1224,76
0.04,1986,1332,76
0.04,1986,1332,76
0.03,1986,1224,79
0.07,1987,1200,77
0.04,1987,1224,89
0.04,1987,1332,85
0.07,1987,1144,77
0.04,1986,1224,82
0.04,1986,1224,76
0.08,1986,1200,76
0.07,1986,1200,76
0.04,1986,1332,76
0.04,1986,1224,76
0.07,1986,1182,84
0.09,1986,1256,76
0.04,1986,1332,76
0.03,1986,1224,76
0.07,1986,1200,76
0.04,1986,1224,76
0.07,1986,1144,76
0.18,1992,1222,79
0.16,1991,1120,79
0.19,1986,1566,76
0.15,1992,1254,94
0.15,1992,1434,79
0.15,1992,1218,85
0.15,1992,1332,79
0.15,1992,1434,79
0.17,1993,1439,94
0.22,1991,1142,79
0.18,1992,1173,79
0,1986,1681,51
0.06,1986,1315,76
0.06,1986,1175,76
0,1986,1126,76
0,1986,1126,76
0,1986,1126,76
0,1986,1126,76
0.18,1986,1828,82
0.26,1986,2540,79
0.29,1986,2291,88
0.21,1986,1728,82
0.16,1986,1916,83
0.16,1986,1808,82
0.34,1986,2002,82
0.25,1986,1808,79
0.32,1986,2542,84
0.23,1986,2104,76
0.15,1986,2136,79
0.21,1986,1996,89
0.39,1986,1907,82
0.21,1986,2014,76
0.23,1986,1737,76
0.24,1986,1916,88
0.34,1987,1993,79
0.54,1987,1928,82
0.18,1987,2149,79
0.15,1987,1824,77
0.1,1987,988,81
0.05,1986,1424,76
0.05,1986,1144,76
0.06,1986,1424,88
0.11,1986,1164,80
0.06,1986,1424,76
0.11,1986,988,80
1.3,1987,2994,81
0.92,1986,1835,75
0.92,1991,1871,79
1.19,1987,2256,77
1.19,1990,2368,78
0.92,1988,2755,77
0.93,1988,2788,87
1.25,1988,4320,84
1.02,1987,2779,77
1.07,1987,2136,77
0.47,1988,2936,77
0.24,1986,2336,84
0.2,1986,1962,84
0.22,1986,1960,76
0.21,1986,2176,78
0.17,1986,2464,76
0.17,1987,2692,77
0.23,1987,2184,84
0.21,1986,2155,78
0.32,1990,2745,84
0.25,1987,2620,81
0.31,1989,2772,87
0.35,1994,2080,83
0.26,1987,2164,77
0.32,1988,3039,84
0.25,1989,2416,78
0.24,1990,2551,78
0.03,1986,1284,84
0.06,1986,1581,79
0.03,1986,1284,84
0.05,1986,1581,79
0.06,1986,1581,79
0.03,1986,1284,81
0.06,1986,1581,81
0.03,1987,1284,81
0.04,1987,1284,85
0.04,1986,1284,79
0.05,1986,1178,79
0.03,1986,1284,82
0.06,1986,1581,81
0.13,1987,1741,81
0.14,1987,1228,77
0.17,1989,1575,78
0.14,1987,1848,77
0.24,1987,1724,84
0.2,1987,1618,77
0.18,1986,1404,76
0.18,1986,1508,76
0.3,1986,1546,81
0.23,1986,1228,76
0.15,1988,1905,81
0.18,1987,1404,81
0.31,1988,1607,77
0.18,1992,1590,84
0.21,1988,1602,77
0.19,1989,2064,81
0.2,1987,2368,77
0.26,1988,1554,84
0.18,1991,1593,79
0.19,1987,1870,77
0.19,1986,1582,76
0.2,1988,1990,83
0.05,1985,1468,69
0.04,1986,1468,70
0.03,1986,1024,70
0.06,1986,1440,70
0.02,1986,1024,70
0.02,1986,1024,70
0.45,1987,3564,77
0.48,1987,2441,77
0.28,1992,2608,79
0.26,1986,2603,76
0.29,1986,2043,76
0.28,1992,2541,79
0.27,1986,2617,76
0.14,1988,2111,81
0.15,1987,1989,81
0.13,1990,2425,91
0.14,1991,2537,94
0.15,1989,2348,84
0.15,1987,2422,77
0.16,1986,2424,76
0.15,1991,2347,79
0.14,1992,2868,79
0.14,1995,2478,81
0.17,1996,2807,82
0.15,1991,2082,87
0.15,1986,2239,81
0.15,1987,2519,77
0.28,1992,3330,79
0.29,1989,2344,62
0.42,1987,3874,77
0.36,1992,3862,79
0.29,1992,3571,79
0.29,1988,6051,73
0.3,1991,3345,79
0.28,1990,3054,78
1.48,1987,1705,77
2.48,1987,1923,77
1.16,1988,1786,77
1.24,1987,2231,81
0.85,1987,2040,77
0.74,1988,2118,77
0.9,1987,1784,77
0.91,1990,2988,78
0.78,1987,1714,77
0.99,1987,2100,77
0.19,1986,1364,76
0.32,1986,1194,76
0.23,1987,1757,77
0.23,1987,1739,77
0.24,1987,2160,82
0.24,1987,1705,77
0.33,1987,2129,77
0.32,1987,1616,77
0.26,1987,1528,77
0.27,1987,1773,77
0.23,1986,1589,84
0.28,1986,1487,76
0.31,1987,1624,77
0.21,1986,1691,76
0.23,1987,1603,77
0.42,1987,1703,89
0.44,1987,1676,77
0.3,1986,1509,76
0.24,1987,1589,84
0.31,1987,1770,77
0.13,1994,1683,88
0.2,1988,2501,77
0.2,1987,2258,77
0.22,1986,2088,79
0.14,1988,2042,80
0.13,1990,1872,81
0.13,1990,1507,81
0.12,1991,1551,79
0.13,1986,1728,76
0.12,1991,1956,82
0.14,1987,2385,85
0.13,1986,2000,79
0.14,1986,1275,79
0.15,1986,1688,79
0.13,1987,1881,77
0.17,1986,1722,79
0.15,1987,1974,77
0.2,1987,1860,77
0.13,1986,1698,79
0.13,1989,2046,81
0.13,1986,2301,76
0.13,1988,2236,77
0.12,1986,1739,82
0.22,1987,2361,79
0.1,1992,1794,79
0.12,1989,1573,78
0.13,1991,1637,89
0.69,1987,2011,77
0.86,1993,1704,80
0.69,1987,2250,77
0.7,1987,1212,77
0.7,1994,1735,81
0.7,1990,1344,78
0.7,1991,1462,79
0.7,1987,1442,81
0.71,1993,2152,80
0.69,1986,1578,76
0.69,1994,1452,81
0.69,1986,1724,84
0.69,1987,1776,77
0.69,1986,1406,76
0.72,1986,1550,76
0.69,1987,1388,77
0.69,1987,1486,85
0.69,1990,1988,78
0.69,1986,1923,76
0.69,1993,1465,80
0.69,1989,1824,78
0.69,1990,1578,78
0.71,1987,2483,77
0.71,1987,1606,77
0.7,1987,1594,77
0.69,1987,1533,77
0.69,1986,1856,76
0.69,1986,1860,76
0.69,1986,1412,76
0.69,1991,1514,79
0.69,1989,1670,78
0.69,1994,1654,73
0.71,1994,1550,81
0.71,1987,1759,77
0.69,1994,1505,91
0.69,1991,1458,79
0.27,1986,2664,79
0.26,1991,2956,88
0.23,1989,2121,80
0.32,1986,2350,82
0.5,1987,1804,91
0.33,1986,1220,81
0.31,1986,1420,76
0.35,1987,1566,77
0.33,1986,1741,80
0.35,1987,1511,77
0.39,1987,1036,77
0.44,1987,1478,77
0.3,1987,1755,77
0.33,1986,1322,76
0.31,1986,1680,76
0.33,1987,1680,82
0.35,1987,1548,77
0.08,1986,1122,84
0.04,1986,1164,76
0.04,1986,1164,76
0.04,1986,1164,76
0.08,1986,1122,84
0.09,1986,1122,84
0.05,1986,1164,76
0.05,1986,1164,76
0.09,1986,1412,84
0.07,1986,1122,87
0.03,1986,1164,76
0.03,1986,1160,76
0.03,1986,1164,92
0.39,1987,1973,81
0.46,1987,1877,77
0.34,1987,1732,81
0.47,1987,2047,84
0.25,1988,1961,84
0.25,1989,2122,84
0.27,1987,2292,84
0.42,1988,2296,77
0.28,1987,2878,77
0.3,1986,2605,76
0.32,1990,2319,78
0.27,1987,1872,77
0.48,1993,1736,80
0.48,1986,2012,81
0.5,1986,1240,76
0.5,1986,2182,76
0.46,1987,1477,82
0.5,1986,1964,70
0.65,1987,1508,77
0.48,1988,1540,81
0.61,1992,1849,91
0.21,1987,1200,77
0.22,1991,1068,82
0.19,1990,985,81
0.03,1986,1264,76
1.76,1988,1404,71
1.25,1987,2353,82
0.87,1987,2227,77
1,1987,2767,77
0.97,1987,2790,77
0.69,1986,2689,76
1.23,2005,2178,87
0.69,1986,1686,84
0.69,2005,1758,87
0.69,1987,1286,77
0.7,1989,1535,91
1.38,1987,1795,82
0.88,1989,1900,78
0.7,1986,1770,76
1.86,1991,2432,79
0.72,1987,1176,77
0.79,1987,1137,77
0.71,1987,1565,77
0.7,1987,1450,77
0.69,1993,1732,80
0.69,2002,1972,85
0.69,1988,1185,77
0.69,1988,1618,77
1.08,1993,2110,80
1.19,1991,2405,84
0.7,1987,2323,58
1.3,1992,1999,79
0.7,1986,1404,76
0.74,1986,1394,76
0.22,1987,1456,77
0.22,1990,1557,78
0.22,1986,1307,76
0.22,1998,1580,83
0.21,1999,1429,83
0.23,1986,2116,76
0.21,1999,1361,83
0.21,1999,2081,83
0.22,1991,1434,84
0.21,1988,1542,77
0.22,1999,1451,83
0.21,1993,1243,80
0.2,1997,1404,82
0.2,1993,1424,80
0.2,1998,1519,83
0.2,1987,1949,82
0.2,1987,1726,77
0.22,1986,1391,76
0.21,1998,1338,83
0.21,1993,1869,80
0.22,1998,1426,83
0.7,1987,1679,79
0.71,1987,1614,77
0.76,1987,1485,77
0.74,1989,1496,78
0.73,1991,1150,79
0.75,1991,1184,79
0.72,1989,1644,78
0.72,1989,1436,78
0.69,1991,1264,79
1.62,1987,1353,77
0.69,1991,1243,79
0.69,1991,1184,79
0.69,1990,1284,78
0.69,1990,1277,81
0.69,1987,1746,81
0.75,1989,1793,81
0.7,1986,1700,76
0.69,1987,2304,81
0.71,1988,1185,80
0.74,1988,1860,83
0.7,1987,1429,77
0.69,1987,1764,77
0.69,1987,1620,73
1.29,1987,2391,77
0.73,1987,1640,77
0.86,1986,1452,76
0.7,1987,1352,77
0.87,1986,1619,79
0.76,1987,1359,77
1.02,1987,1618,77
0.69,1987,1387,77
0.69,1988,1442,77
0.69,1986,2512,76
0.69,1986,1566,84
0.69,1986,1188,76
0.69,1987,1161,87
0.72,1988,1344,77
0.72,1989,1188,94
1.88,1989,1188,78
1.1,1990,1200,78
1.48,1988,1528,85
1.07,1987,1146,77
0.24,1987,1340,87
0.3,1987,1551,82
0.36,1987,1359,84
0.29,1989,1367,81
0.25,1988,1738,75
0.24,1988,1267,83
0.25,1986,2081,76
1.47,1987,1715,77
0.72,1993,1593,80
0.86,1990,1394,78
0.7,1987,1372,77
0.7,1989,1817,78
0.88,1995,2008,81
0.74,1987,2082,82
0.69,1987,1345,77
0.82,1989,2791,78
0.8,1986,2398,76
0.92,1994,3572,81
1.08,1991,3784,79
1.05,1990,2352,81
0.92,1990,3313,81
0.42,1986,2784,76
0.25,1986,2544,91
0.25,1986,2702,82
0.29,1987,1028,92
0.3,1987,1080,77
0.28,1987,960,81
0.35,1992,1188,79
0.37,1994,1106,81
0.31,1992,1118,79
0.38,1992,1116,79
0.36,1992,1068,79
0.31,1994,1330,81
0.31,1988,1413,77
0.16,1986,1482,79
0.2,1986,1637,79
0.2,1992,1636,79
0.21,1989,2211,81
0.2,1988,1767,83
0.19,1989,1356,78
0.18,1991,2552,79
0.28,1992,2184,79
0.17,1992,2942,82
0.22,1987,2074,77
0.22,1988,2244,77
0.17,1991,1804,82
0.2,1993,2027,80
0.17,1988,1683,83
0.2,1993,1867,80
0.21,1986,2200,79
0.17,1993,1286,80
0.16,1987,1532,77
0.22,1987,1756,77
0.21,1989,2322,83
0.23,1987,2210,77
0.19,1987,2203,82
0.15,1987,1960,77
0.17,1986,1628,79
0.17,1986,1800,76
0.18,1988,1717,87
0.21,1986,1717,87
0.16,1986,2118,79
0.19,1992,1752,85
0.18,1988,1794,80
0.22,1986,1638,79
0.14,1987,1638,81
0.25,1987,2266,82
0.18,1991,1498,82
0.21,1987,1638,85
0.34,1987,2554,79
0.35,1988,2296,77
0.37,1988,2734,77
0.35,1987,2805,89
0.37,1988,2732,79
0.18,1987,2202,82
0.18,1987,2286,79
0.17,1987,2098,79
0.16,1987,1900,79
0.19,1987,1852,79
0.05,1986,1232,70
0.17,1992,1908,79
0.23,1987,2285,77
0.35,1987,1790,77
0.35,1986,2114,76
0.35,1986,2344,82
0.36,1986,1788,76
4.47,1987,5258,77
0.28,1988,2206,77
0.38,1988,2118,77
0.26,1987,2639,77
0.05,1985,1408,69
0.05,1985,1740,69
0.06,1986,1740,70
0.08,1986,1408,70
0.06,1986,1740,70
0.05,1986,1740,70
0.08,1986,1408,70
0.97,1996,1480,82
0.69,1987,1413,81
0.69,1995,1224,81
0.69,1994,1068,81
0.72,1987,1269,77
0.72,1987,1132,77
0.03,1986,1300,76
0.04,1986,1300,82
0.03,1986,1300,72
0.04,1986,1300,76
0.17,1991,1232,82
0.22,1988,1446,77
0.18,1988,1578,77
0.18,1988,1305,77
0.18,1991,1770,79
0.21,1987,1651,77
0.21,1987,1480,77
0.19,1987,1280,77
0.3,1986,1525,76
0.32,1990,1330,78
0.22,1987,1625,77
0.19,1989,1537,78
0.26,1987,1472,77
0.16,1989,1452,78
0.17,1989,1451,78
0.17,1987,1755,77
0.17,1987,1765,81
0.17,1990,1451,78
0.22,1988,1866,77
0.23,1989,1578,78
0.23,1991,2015,84
0.17,1990,1720,78
0.17,1989,1465,78
0.69,1986,1080,76
0.69,1997,1564,82
0.69,1987,1338,77
0.69,1992,1330,84
0.69,1995,1328,81
1.38,1993,1500,87
1.06,1987,1220,77
0.69,1992,1150,87
0.69,1987,1503,81
0.69,1995,1935,81
0.69,1987,1272,77
0.69,1995,1332,91
0.69,1996,1306,82
0.69,1987,1248,89
0.69,1989,1265,83
0.69,1995,1508,81
0.69,1986,1247,81
0.96,1988,1160,77
2.31,1994,3218,81
0.93,1987,4412,69
1.98,1992,2758,79
1.03,1989,3100,78
0.93,1988,3488,80
0.93,1986,2749,81
1.8,1987,3164,77
0.1,1986,1970,76
0.05,1986,1886,76
0.09,1986,2078,76
0.09,1986,1968,76
0.05,1986,1886,76
0.06,1986,2036,76
0.09,1986,1970,76
0.09,1986,1970,76
0.05,1986,1886,76
0.1,1986,1970,76
0.06,1987,1982,77
0.06,1987,1982,77
0.1,1987,2140,77
0.18,1990,1819,78
0.18,1989,1385,78
0.17,1990,1580,78
0.17,1992,1351,79
0.14,1988,1913,77
0.19,1988,1210,77
0.2,1989,1480,84
0.22,1988,1368,77
0.17,1991,1305,79
0.14,1990,1884,78
0.23,1991,1996,79
0.17,1988,1633,77
0.18,1990,1516,78
0.13,1997,1600,82
2.13,1988,2220,71
7.33,1987,5132,91
1.4,1994,4160,81
3.44,1996,6972,82
2.19,1989,4510,78
1.72,1990,9867,78
1.86,1988,6060,81
3.58,2009,9128,66
2.26,1990,6342,84
8.41,1990,3991,78
0.92,1989,2816,78
0.95,1991,2860,79
0.97,1991,3139,79
1.07,1991,2492,79
0.98,1987,3160,77
1.3,1992,3010,87
1.48,1991,3676,93
1.49,1991,2515,79
1.07,1991,4402,82
0.45,1987,2556,77
0.57,1987,2558,77
0.49,1987,2554,89
0.56,1989,4204,81
0.46,1986,3612,84
0.99,1995,2666,81
0.93,1994,2321,81
0.93,1986,2250,76
0.97,1993,2650,80
0.92,1989,3003,78
1.05,1994,2924,81
0.92,1992,3315,79
1.16,1999,4019,83
0.92,1997,2985,82
0.97,1989,2535,78
0.92,1990,2910,70
1.13,1995,4196,81
0.94,1989,2813,78
0.92,1999,2819,83
0.92,1994,2512,81
0.94,1990,3223,78
0.92,1988,2822,77
0.92,1988,3219,77
0.92,1986,3215,76
0.93,1991,3695,79
0.92,1993,2296,80
0.97,1988,2789,77
0.92,1994,2638,81
0.99,1994,3289,81
0.92,1997,3605,82
0.95,1987,2463,77
0.95,1994,2954,81
0.21,1987,1398,77
0.19,1987,1416,79
0.21,1987,1188,77
0.2,1987,1540,77
0.2,1987,1468,89
0.22,1987,1792,77
0.29,1988,2895,77
0.23,1989,2830,83
0.25,1986,2352,76
0.3,1986,2304,79
0.32,1988,2064,77
0.4,1986,1822,79
0.29,1988,2767,81
0.25,1986,1942,87
0.36,1986,1596,76
0.43,1986,3729,76
0.34,1986,2177,88
0.24,1989,1845,78
0.29,1986,2295,79
0.3,1988,1805,69
0.28,1987,2614,77
0.31,1987,2354,82
0.3,1988,1944,80
0.25,1987,2048,79
0.27,1987,2339,79
0.23,1988,2224,83
0.23,1988,2481,77
0.26,1987,2305,79
0.19,1987,1604,79
0.18,1987,1428,77
0.23,1987,1312,79
0.21,1987,1885,82
0.26,1987,1883,77
0.23,1988,2558,84
0.22,1988,1536,86
0.21,1987,1224,77
0.19,1986,1334,79
0.03,1986,1357,76
0.03,1986,1380,79
0.03,1986,1380,84
0.03,1986,1300,79
0.04,1986,1300,84
0.24,1986,2344,88
0.27,1986,2401,82
0.23,1994,2370,83
0.19,1988,2388,77
0.2,1988,1516,80
0.2,1987,1988,79
0.23,1987,1862,77
0.3,1995,2507,81
0.21,1987,1819,70
0.35,1990,2444,78
0.27,1988,4464,92
0.25,1986,2468,76
0.27,1987,3340,82
0.29,1989,2163,78
0.29,1990,2463,81
0.29,1990,2284,84
0.11,1987,1082,81
1.25,1987,1224,81
0.99,1987,1270,77
0.69,1987,1339,65
0.93,1987,1604,77
1.46,1987,1518,77
1.05,1987,1231,77
1.08,1987,1620,83
1.05,1987,1580,77
0.32,1986,3933,76
0.4,1993,1918,80
0.45,1990,2281,87
0.28,1987,2063,77
0.32,1994,2386,81
0.37,1992,1979,79
0.5,1991,2088,79
0.38,1989,1947,78
0.4,1993,2279,80
0.36,1994,2076,81
0.41,1994,1835,81
0.39,1990,2354,78
0.28,1988,2758,85
0.52,1988,3121,87
1.33,1985,7840,56
1.33,1985,7840,56
0.38,1987,1268,77
0.34,1988,1402,77
0.36,1987,1436,77
0.52,1987,2219,91
0.5,1987,1432,94
0.53,1987,1312,77
0.56,1987,1526,81
0.41,1987,1217,77
0.41,1987,1268,91
0.35,1988,1781,77
0.35,1987,1436,77
0.41,1986,1308,76
0.16,1992,1584,94
0.47,1991,3490,91
0.15,1988,1929,83
0.18,1992,2761,79
0.18,1987,2943,86
0.22,1987,2755,91
0.71,1986,1370,76
0.69,1987,2754,77
0.69,1987,3319,84
0.69,1987,2381,77
0.7,1987,2149,77
0.69,1987,2106,77
0.69,1987,2439,77
0.33,1990,1557,81
0.33,1990,1806,87
0.32,1987,1437,77
0.32,1987,1630,77
0.34,1992,2093,79
0.38,1992,2193,79
0.45,1994,2691,86
0.3,1991,2054,79
0.35,1990,1810,81
0.3,1992,2153,79
0.3,1990,2110,84
0.31,1987,2244,87
0.34,1987,2342,84
0.38,1992,2065,79
0.34,1992,1914,79
0.34,1993,2447,80
0.26,1990,1014,78
0.3,1990,1230,78
0.28,1987,1090,77
0.33,1987,1597,77
0.49,1989,1014,78
0.3,1988,1014,77
0.28,1989,1002,87
0.27,1987,1234,77
0.28,1990,1014,81
0.33,1989,1008,94
0.26,1986,2170,76
0.36,1987,1498,69
0.37,1987,1100,77
0.33,1986,1153,76
0.24,1988,2112,77
0.28,1988,2427,77
0.25,1988,2155,79
0.13,1994,1530,81
0.15,1991,1380,82
0.14,1991,1308,79
0.36,1987,1688,77
0.11,1994,1476,81
0.17,1987,2040,77
0.14,1987,1131,82
0.13,1987,2040,77
0.31,1994,1525,86
0.53,1994,1642,83
0.23,1994,1604,81
0.19,1993,1264,80
0.13,1991,1480,88
0.06,1986,1513,76
0.08,1986,1470,88
0.18,1987,2548,82
0.2,1987,2464,79
0.18,1987,2121,82
0.21,1987,2464,79
0.25,1987,2492,79
0.27,1987,2408,82
0.2,1987,2121,77
0.19,1987,2130,79
0.22,1987,2100,82
0.21,1988,2339,80
0.2,1987,2436,80
0.18,1987,2424,79
0.16,1987,1594,85
0.16,1987,2350,79
0.15,1987,1932,77
0.21,1987,2464,79
0.16,1988,1951,77
0.2,1990,2158,91
0.16,1986,2124,79
0.18,1986,2516,76
0.2,1987,2352,77
0.29,1987,2464,79
0.27,1987,2124,79
0.14,1987,2398,79
0.17,1987,2520,77
0.03,1986,1300,84
0.03,1986,1300,76
0.03,1986,1300,76
0.04,1986,1300,84
0.04,1986,1300,84
0.03,1986,1300,76
0.04,1986,1300,84
0.03,1986,1300,84
0.03,1986,1300,76
0.03,1986,1300,88
0.03,1985,1220,84
0.03,1985,1220,76
0.03,1985,1220,84
0.03,1985,1220,81
0.03,1985,1220,84
0.03,1985,1220,84
0.03,1986,1220,84
0.03,1986,1220,84
0.03,1986,1220,76
0.03,1986,1220,76
0.02,1986,1380,76
0.02,1986,1155,76
0.03,1986,1312,84
0.02,1986,1380,76
0.02,1986,930,76
1.01,1988,3511,91
0.95,1988,5010,77
0.95,2000,3553,84
2.17,1993,3240,80
0.93,1989,4155,94
0.92,1987,2588,77
1.1,1992,3331,89
0.96,1992,3156,84
0.94,1993,2532,80
0.94,1993,3334,86
1.12,1987,3569,94
1,1988,3753,81
0.93,1988,3778,77
1.1,1993,3247,94
2.96,1992,3420,82
0.92,1987,3336,85
0.92,1987,2257,77
1.17,1987,2911,79
1.11,1987,2702,85
0.92,1987,2461,91
1.23,1989,2599,78
1.06,1994,2728,87
0.94,1995,2584,84
0.92,1995,2555,84
0.92,1988,2999,83
0.98,1990,2898,78
0.05,1987,1221,77
0.05,1987,1424,77
0.32,1991,1074,79
0.35,1987,1200,82
0.26,1989,2016,84
0.23,1991,1148,79
0.23,1990,1190,78
0.27,1991,1124,79
0.23,1989,2071,81
0.23,1991,1104,79
0.25,1991,1108,82
0.07,1985,992,76
0.03,1985,992,76
0.03,1985,992,76
0.05,1985,1150,76
0.05,1985,1146,76
0.05,1985,1217,78
0.04,1986,1212,76
0.04,1986,1260,76
0.09,1986,1200,76
0.03,1986,1088,82
0.04,1986,1212,76
0.06,1986,1380,76
0.08,1986,1468,82
0.06,1986,1200,76
0.09,1985,1102,76
0.07,1985,1024,76
0.05,1986,1200,76
0.06,1986,1380,76
0.07,1986,1212,79
0.04,1985,992,78
0.03,1985,992,76
0.08,1985,1278,81
0.05,1985,1164,78
0.07,1985,1278,81
0.05,1985,1060,76
0.09,1986,1278,76
0.05,1986,1239,76
0.06,1986,1307,79
0.03,1986,1254,87
0.03,1986,1270,87
0.21,1987,1500,77
0.23,2004,1536,86
0.21,1990,1344,84
0.21,1990,1371,78
0.21,1992,1307,79
0.21,1991,1960,79
0.21,1991,1422,79
0.21,1992,1321,79
1.84,1995,2978,81
1.84,1987,3167,85
0.3,1988,1965,87
0.26,1995,1411,87
0.03,1986,1254,76
0.04,1986,1122,87
0.03,1986,1254,76
0.03,1986,1268,76
0.03,1986,1254,76
0.05,1986,1334,76
0.02,1986,1024,76
0.02,1986,1024,76
0.02,1986,1294,76
0.02,1986,1056,76
0.02,1986,1024,79
0.25,1988,2000,77
0.23,1987,1391,82
0.21,1990,1382,78
0.33,1988,1918,94
0.26,1989,2160,78
0.26,1986,1329,76
0.28,1989,2375,78
0.26,1995,1258,81
0.43,1988,2508,77
0.3,1989,2106,81
0.05,1986,1300,76
