Deeded_Acreage,Year_Built,HEATED_AREA,Accrued_Assessed_Condition_Pct
0.24,1964,1740,84
0.28,1965,1578,88
0.28,1960,1059,78
1.03,1981,938,3
0.12,2018,1564,96
0.35,1971,2055,68
0.58,1950,1357,76
0.29,1972,1519,61
0.2,1928,3270,76
0.38,1938,3784,84
2.94,1950,1424,69
0.27,1942,2777,91
0.52,2011,3637,93
0.81,1961,3690,87
0.35,1952,1720,40
0.17,1957,1486,43
0.51,2017,1736,96
0.27,1965,1092,93
0.28,1964,1227,91
0.17,1968,1176,40
1.76,2017,7330,96
0.18,1947,1386,78
0.64,1963,4761,90
0.32,1967,1875,51
0.68,1970,6741,88
1.14,1997,9429,96
0.24,1956,1371,76
0.33,1997,2868,87
0.28,1955,2271,44
0.45,1964,2100,50
0.4,1963,1885,81
1.66,2004,1134,84
0.3,2006,5068,91
0.5,1958,1485,70
0.44,1959,1852,69
0.55,1964,2054,64
0.55,1968,600,59
0.28,1970,2480,73
0.55,1962,2561,47
0.41,1967,3415,88
0.28,1971,2355,85
0.63,1972,3642,64
0.35,1965,2349,68
0.28,1969,1188,76
0.28,1955,3417,91
0.39,1968,2131,78
0.41,1969,1911,84
0.56,1957,2358,62
0.41,1954,2570,88
0.29,1986,2371,88
0.48,2009,4299,92
0.18,1950,1494,91
0.3,1972,2207,68
0.28,1965,2059,61
0.36,1999,1189,83
0.57,1952,1168,59
0.21,1950,899,54
0.17,1890,2691,80
0.08,1923,2475,80
0.18,1930,1066,88
0.46,1955,962,65
0.22,2016,3561,95
0.46,2018,2867,96
0.5,1961,1425,63
0.77,1964,896,64
0.77,1952,999,59
1.02,1976,2386,81
0.79,1973,2094,91
0.58,1972,2180,71
2.01,1987,3662,77
0.22,1990,1212,78
1.1,1955,1248,54
0.47,1965,1356,54
1.05,1954,1344,46
0.44,1970,1546,67
0.41,1972,3411,61
0.43,1876,4840,91
0.43,1965,2095,81
0.67,1966,1464,78
0.5,1961,3838,91
0.12,2001,1004,84
0.32,1971,2101,91
0.48,1998,1936,71
0.81,1987,2726,80
0.44,1945,1661,56
0.44,1970,1998,91
0.27,1970,2020,67
0.25,1950,956,59
0.26,1970,1014,76
0.25,1972,1600,78
0.2,1946,1347,91
0.24,1959,1296,87
0.28,1950,1075,73
2,1972,2436,68
0.28,1960,891,60
0.22,1940,796,76
0.31,1928,1664,70
1.38,1962,2457,64
0.29,1942,742,12
0.29,1935,2288,30
0.35,2013,4437,94
0.19,1954,975,81
0.45,1955,3150,84
0.37,1951,950,84
0.49,2015,1757,94
0.35,1984,1118,88
0.37,1941,3369,59
1.02,2008,1723,89
0.17,1940,2114,80
0.36,1969,2016,85
2.03,2004,2379,86
0.53,1961,1498,73
0.14,1950,2128,96
0.26,1910,1680,25
0.46,1962,1774,63
0.32,1950,1948,41
0.32,1950,1920,41
0.61,1967,3088,77
0.14,2019,1802,97
0.15,2019,1430,97
0.19,1950,1860,93
0.16,2015,1248,95
0.46,1966,1772,68
0.29,1968,2203,66
0.19,1935,2164,70
0.34,2018,4292,97
0.21,1956,1328,63
0.47,1970,1330,67
0.24,1973,1572,78
0.26,1973,2629,94
0.26,1972,2004,94
0.24,1955,1012,67
0.17,1935,2032,88
0.15,1925,2752,95
0.27,1928,2178,81
0.1,1925,1348,92
0.14,1949,1425,63
0.37,1966,1100,94
0.36,2019,4050,97
2.06,1950,1184,20
0.46,1974,3304,72
0.2,1951,750,83
0.64,1955,2940,67
0.78,1959,912,60
1.11,1978,870,65
0.29,1970,1107,67
0.73,1959,2193,62
0.56,1979,1425,78
0.4,1970,1128,73
0.29,1935,968,87
0.14,2018,1938,97
0.26,1960,1602,65
0.92,1994,1512,53
0.25,1970,1204,66
0.32,1971,2192,68
0.23,1961,1291,76
0.21,2014,3910,95
0.35,1969,1711,72
0.93,2019,1640,97
0.25,1955,1012,88
0.38,1963,1025,80
0.57,1967,2274,71
0.61,1900,1978,37
0.75,1989,1800,77
0.3,1968,2082,73
0.41,1966,2446,32
1.81,1967,1828,66
0.15,1928,943,58
0.36,1967,1323,66
0.21,1950,1643,86
0.3,1959,1176,67
0.26,1969,1980,83
0.26,1945,2080,61
0.21,1960,1025,73
0.44,1925,5437,100
0.51,1969,1264,69
0.25,1931,1455,62
0.45,1937,2515,81
1.28,1983,2737,74
0.63,1995,2278,81
0.45,1955,1033,67
0.31,1959,1288,67
0.18,1938,2018,53
1,1958,1053,86
